label,SI,activation_times,n_activations,n_laws,predicted_type,true_type,correct
iafdb_iaf1_afw,1.0,"[  272  1144  2097  2848  3521  4607  5413  6323  7041  8177  8986  9596
 10459 11459 12115 13056 13811 14684 15502 16152 17276 18051 19008 19795
 20636 21764 22546 23267 23953 24980 25854 26538 27324 28051 28794 29559]",36,36,flutter,,
iafdb_iaf1_ivc,0.9082321187584346,"[  150   189   704  1549  2165  3084  3731  4507  5348  6329  7058  7699
  8404  9064  9840 10784 11396 12112 12793 13593 14247 14924 15708 16726
 17602 18455 19409 20546 21221 22304 23193 24002 24949 25819 26769 27429
 28260 29011 29953]",39,39,flutter,,
iafdb_iaf1_svc,0.9914634146341463,"[  170   815  1613  2337  3432  4101  4981  5528  6396  7422  8206  8948
  9683 10481 11089 11681 12264 13257 13908 14478 15401 16040 16868 17454
 17995 18744 19552 19771 20157 21306 21888 22552 23125 23678 24436 25241
 26167 26886 27491 28158 29124 29987]",42,41,flutter,,
iafdb_iaf1_tva,1.0,"[  532  1314  2021  2807  3591  4416  5142  5796  6706  7540  8150  8941
  9843 10560 11572 12208 12979 13517 14399 15198 15882 16616 17454 18325
 19187 19906 20612 21427 22082 22999 23709 24387 25130 26173 26803 27628
 28313 29428]",38,38,flutter,,
iafdb_iaf2_afw,0.33765032377428306,"[  350  1153  1661  1935  2320  2974  3165  3301  3635  3913  4851  5618
  5725  5817  5983  8079  9070  9263 10864 10940 11015 11197 11571 13905
 14500 14701 14864 15701 16105 16760 16882 20761 20890 21316 21394 21494
 21645 21871 22540 23970 24172 24928 25331 25545 26060 26746 29537 29968]",48,47,type2,,
iafdb_iaf2_ivc,0.40048076923076925,"[   77   553   849  1602  3326  3678  4782  5114  6850  6907  6974  7423
  8216  8551  9200  9282  9540 10666 11545 11686 12200 13150 13465 13509
 13683 14019 14274 14335 14656 14775 14906 14987 14991 15045 15375 15797
 15927 16274 16627 17312 17644 17939 18061 18519 18685 19335 19337 19799
 20301 20725 21099 21580 23171 23717 24247 25506 26034 26102 26541 27170
 27812 28004 28166 28568 29239]",65,65,type2,,
iafdb_iaf2_svc,0.30043541364296084,"[ 1112  1397  1459  1613  1799  2099  2355  3446  4087  4107  4482  5173
  5272  5382  5671  6862  7598  7962  9132  9678  9959 10216 13823 13906
 14015 15289 15613 15700 16028 16188 16344 16609 17161 19801 20174 21876
 23282 23546 23648 23823 24731 25244 25680 25801 25944 26471 26825 27135
 27271 27654 28255 28443 28594]",53,53,type2,,
iafdb_iaf2_tva,0.24421831637372804,"[  244   391   582   765   904  1164  1516  2873  3630  5648  5977  6175
  6266  6271  6381  6523  7358  9626 10077 10309 12026 12321 12697 16318
 16402 17966 19853 20015 21994 22272 22449 22643 22787 22987 23312 24390
 24678 24971 25648 26089 26325 26373 26709 27025 28636 28703 29135]",47,47,type2,,
iafdb_iaf3_afw,0.2081967213114754,"[   65    98   212   217   330   913   973  1011  1739  1817  2771  3704
  4093  4340  5378  5517  6421  6635  6652  6778  6805  6887  6997  7152
  7361  7542  7943  8804  9514 10639 10680 10914 11428 12063 12216 13271
 13396 15238 15939 16475 16720 17892 17897 18655 18662 20375 20492 21313
 22377 23044 24871 26196 26209 26998 27550 27824 28364 28682 28688 29580
 29652]",61,61,type3,,
iafdb_iaf3_ivc,0.18799603174603174,"[ 1342  1978  2387  2550  2648  2691  2704  2926  3473  5193  5304  6017
  6115  6660  6896  7447  7694  7780  8546  8670  8776  9436  9588  9666
  9713 10108 10228 10337 10497 10807 11573 12641 12721 13577 15051 15796
 15829 17393 17681 18486 20560 20570 20713 21115 21163 21635 21790 22178
 22856 23888 24573 25390 25486 26045 27108 27341 27467 27527 27654 27735
 28569 29471 29634 29652]",64,64,type3,,
